,Greater Capital City,Number of Tweets Made
269,cataractwollongong (cataractwollongong),18
1043,portdouglasportdouglas-craiglie (portdouglasportdouglas-craiglie),18
920,newcastleeastnewcastle (newcastleeastnewcastle),17
1032,plumridgelakestjuntjuntjara (plumridgelakestjuntjuntjara),17
817,merricksbalnarring-balnarringbeach (merricksbalnarring-balnarringbeach),17
202,bromleylondon (bromleylondon),17
957,northnowranowra-bomaderry (northnowranowra-bomaderry),17
989,ordriverhallscreek (ordriverhallscreek),17
738,limmenngukurr (limmenngukurr),16
973,numburindinumbulwar (numburindinumbulwar),16
1363,wentworthfallsbluemountains (wentworthfallsbluemountains),16
940,noosanorthshoresunshinecoast (noosanorthshoresunshinecoast),16
928,newmarketontario (newmarketontario),16
576,henleybrookellenbrook (henleybrookellenbrook),16
918,neranggoldcoast (neranggoldcoast),16
766,maddensplainswollongong (maddensplainswollongong),16
1128,scarsdalesmythesdale (scarsdalesmythesdale),15
400,drysdaleriverkalumburu (drysdaleriverkalumburu),15
1002,palmcovecairns (palmcovecairns),15
34,allenstownrockhampton (allenstownrockhampton),15
427,eastwangarattawangaratta (eastwangarattawangaratta),15
751,longjettycentralcoast (longjettycentralcoast),15
1210,sunshinebeachsunshinecoast (sunshinebeachsunshinecoast),15
169,bonegillaalbury (bonegillaalbury),15
232,cablebeachbroome (cablebeachbroome),15
434,eerwahvaleeumundi (eerwahvaleeumundi),15
540,gruyerewooriyallock-launchingplace (gruyerewooriyallock-launchingplace),15
22,advancetowngoldcoast (advancetowngoldcoast),15
1330,wallingtonoceangrove-barwonheads (wallingtonoceangrove-barwonheads),15
1301,undullahjimboomba-west (undullahjimboomba-west),14
801,mclarenflatmclarenflat (mclarenflatmclarenflat),14
553,gwynnevillewollongong (gwynnevillewollongong),14
1370,westbusseltonbusselton (westbusseltonbusselton),14
1390,westwoodlaunceston (westwoodlaunceston),14
131,bergennederland (bergennederland),14
67,avocabeachcentralcoast (avocabeachcentralcoast),14
806,megalongvalleybluemountains (megalongvalleybluemountains),14
514,glenrowanglenrowan-north (glenrowanglenrowan-north),14
1010,parwanmelton (parwanmelton),14
976,o.b.flatmountgambier (o.b.flatmountgambier),14
178,booralamingkoorda (booralamingkoorda),14
731,leeuwinaugusta (leeuwinaugusta),13
1276,torresstraitbaduisland (torresstraitbaduisland),13
438,eleebananewcastle (eleebananewcastle),13
1427,woothamaleny (woothamaleny),13
392,douglas-dalypinecreek (douglas-dalypinecreek),13
944,norlanegeelong (norlanegeelong),13
1192,stgeorgerangesbayulu (stgeorgerangesbayulu),13
754,lowerdaintreedaintree (lowerdaintreedaintree),13
531,governmentdistrictdallas (governmentdistrictdallas),13
368,davenportwutunugurra (davenportwutunugurra),13
175,bookerbaycentralcoast (bookerbaycentralcoast),13
870,mountedwardsaratula (mountedwardsaratula),13
927,newmanjigalong (newmanjigalong),13
181,bowenfelslithgow (bowenfelslithgow),13
1024,pialbaherveybay (pialbaherveybay),13
184,boxheadcentralcoast (boxheadcentralcoast),12
132,berkeleywollongong (berkeleywollongong),12
331,coriogeelong (coriogeelong),12
549,gurindjidaguragu-kalkarindji (gurindjidaguragu-kalkarindji),12
330,corfieldwinton (corfieldwinton),12
1339,wangarattasouthwangaratta (wangarattasouthwangaratta),12
1089,robinagoldcoast (robinagoldcoast),12
316,connewarreleopold (connewarreleopold),12
796,mayfieldnewcastle (mayfieldnewcastle),12
1346,warnersbaynewcastle (warnersbaynewcastle),12
1005,paracombehoughton (paracombehoughton),12
1201,strathfieldsayebendigo (strathfieldsayebendigo),12
86,bandianawodonga (bandianawodonga),12
425,easttrinityyarrabah (easttrinityyarrabah),12
642,junortounbendigo (junortounbendigo),12
1204,sturtcreekmindibungu (sturtcreekmindibungu),12
869,mountduneedgeelong (mountduneedgeelong),12
546,gulungmardrulkbulman-weemol (gulungmardrulkbulman-weemol),12
1237,teralbanewcastle (teralbanewcastle),12
399,drysdaledrysdale-cliftonsprings (drysdaledrysdale-cliftonsprings),12
418,eastkurrajongglossodia (eastkurrajongglossodia),11
1137,shellharbourwollongong (shellharbourwollongong),11
503,girraweenwallangarra (girraweenwallangarra),11
1009,parramattaparkcairns (parramattaparkcairns),11
183,bowralbowral-mittagong (bowralbowral-mittagong),11
783,marchorange (marchorange),11
195,broadbeachwatersgoldcoast (broadbeachwatersgoldcoast),11
613,invermaylaunceston (invermaylaunceston),11
363,dampierpeninsulabeaglebay (dampierpeninsulabeaglebay),11
1377,westgosfordcentralcoast (westgosfordcentralcoast),11
1232,tarrengowermaldon (tarrengowermaldon),11
668,kiallashepparton-mooroopna (kiallashepparton-mooroopna),11
305,cochranealberta (cochranealberta),11
526,goolwavictorharbor-goolwa (goolwavictorharbor-goolwa),11
84,balnarringbalnarring-balnarringbeach (balnarringbalnarring-balnarringbeach),11
294,clarkefieldriddellscreek (clarkefieldriddellscreek),11
1241,tewantinsunshinecoast (tewantinsunshinecoast),11
1354,waterbankbroome (waterbankbroome),11
1110,ruralviewmackay (ruralviewmackay),11
1416,wongawongabeach (wongawongabeach),10
729,lawnhilldoomadgee (lawnhilldoomadgee),10
308,coledalewollongong (coledalewollongong),10
986,olympicdamroxbydowns (olympicdamroxbydowns),10
315,connellanalicesprings (connellanalicesprings),10
1436,wyongcentralcoast (wyongcentralcoast),10
573,hazelwoodnorthmorwell (hazelwoodnorthmorwell),10
826,midlandontario (midlandontario),10
26,airliebeachairliebeach-cannonvale (airliebeachairliebeach-cannonvale),10
373,deepleadstawell (deepleadstawell),10
537,greigsflatsouthpambula (greigsflatsouthpambula),10
700,labradorgoldcoast (labradorgoldcoast),10
47,arakoonsouthwestrocks (arakoonsouthwestrocks),10
