,Author Id,Number of Tweets Made
11969,#1201981561089843200,9
74933,#289694353,9
17289,#1273298160236912640,9
86906,#384735533,9
2723,#105070106,9
57931,#1922896555,9
86955,#3853506134,9
34648,#1448093609249677317,9
40785,#1492672143179452419,9
15071,#1246336655398559744,9
50497,#1576063719401877506,9
110239,#839553246,9
116710,#950508301485195264,9
26421,#1381905737199144963,9
93418,#477898220,9
17270,#1273103446871343104,9
96616,#54157332,9
31710,#1427061977759633414,9
87576,#39248468,9
32925,#1435766257995812867,9
69277,#2576644326,9
85100,#362664173,9
85092,#362523555,9
23123,#1347548290422812672,9
26432,#1382049253,9
107785,#799197920583004161,9
26565,#1383435841830223883,9
93390,#4774951274,9
2636,#1049144863835348993,9
69673,#25949687,9
114406,#910049253816279041,9
34682,#1448272890869305345,9
52166,#1592723775295934464,9
52711,#1599580768120233984,9
88930,#409644513,9
43435,#1512911519948107776,9
56134,#17908630,9
80825,#324189654,9
9459,#1161976397771894784,9
56127,#179068892,9
17380,#1274626918000652288,9
74926,#289662453,9
80833,#324210798,9
56131,#179077077,9
3426,#1063740444042018816,9
114288,#907890645632557057,9
92672,#467942613,9
96770,#544915481,9
79564,#3161740400,9
84960,#36086869,9
17400,#1274908314,9
68563,#253831104,9
38899,#1480040670165446656,9
34806,#1449226111754248197,9
114267,#907527211,9
105759,#764773938,9
103951,#734884784707506178,9
96785,#545058596,9
31731,#1427175348207198209,9
5285,#1094545770,9
11163,#118938737,9
65635,#2382049814,9
103953,#734917135500120064,9
78245,#307271056,9
102232,#707864075477213184,9
34813,#1449277487616118789,9
1321,#1024203859,9
66617,#24306686,9
78808,#31069964,9
58907,#19814299,9
13916,#12313732,9
74932,#2896875468,9
65980,#239728148,9
57341,#188625536,9
71582,#271395754,9
61365,#2188989828,9
85019,#361703385,9
26479,#1382506556609032197,9
47712,#1547791077511688192,9
62838,#2261913967,9
32211,#1430516059983912966,9
93305,#476459106,9
40054,#1487449604828573697,9
32178,#1430352464021131270,9
96736,#544156469,9
9465,#1162046896275218432,9
11160,#1189319312126857216,9
5220,#1093435837658755072,9
28224,#1399947240601395200,9
63371,#228610089,9
108608,#814598666186956800,9
52935,#1603744608877707265,9
86945,#385316894,9
34759,#1448876454322704388,9
105758,#764760273391529984,9
96749,#54446215,9
117214,#959038137719603200,9
2662,#1049573227943550976,9
26513,#1382828124648337410,9
23013,#1346665177408708608,9
3436,#1063994969092845568,9
96577,#540675474,9
26384,#1381487065448112130,9
114449,#910759965232529408,9
110134,#837978180,9
66658,#2433330085,9
108709,#816216725637054464,9
78353,#3078774734,9
68672,#2545336513,9
14669,#1241929453938176001,9
33006,#14365441,9
103884,#733826695,9
114581,#91315688,9
61845,#2217102625,9
93534,#4791733034,9
47891,#1549511425940283392,9
96430,#53734280,9
50451,#1575635009071087616,9
104426,#742799616224071680,9
102461,#71131006,9
14666,#1241875857506840576,9
47885,#1549430680588730369,9
50452,#1575635181049815041,9
61360,#2188598262,9
40016,#1487231786531065859,9
92646,#467518808,9
75033,#2902261484,9
60413,#21368582,9
23332,#1349618503007944704,9
96450,#538046977,9
104591,#745571062155448320,9
85264,#3645007573,9
28035,#1398182441232125954,9
69548,#2589687974,9
14016,#1233278594169729025,9
9619,#1164529867657895936,9
76774,#298955053,9
61935,#2222724780,9
57856,#1918771303,9
94440,#49175725,9
23440,#1350656911230853120,9
62886,#226454029,9
47937,#1550001893598179328,9
39096,#1481193134021562369,9
103864,#733440304569683968,9
14205,#1235875386774278146,9
25420,#137115717,9
102493,#711808302,9
34468,#1446744069086986244,9
76130,#295137514,9
56058,#17853549,9
79018,#3119448852,9
4934,#1088644495007072256,9
117875,#97095644,9
2570,#1047980276037574656,9
87491,#391616235,9
96346,#53558823,9
31072,#1422445256977436682,9
23417,#1350425125871517697,9
105658,#762957945512468480,9
96361,#535888640,9
15251,#1248560583093317632,9
114609,#91375131,9
116590,#94889341,9
96375,#53613100,9
96382,#53620393,9
110112,#83768558,9
4947,#1088820723165089793,9
85300,#36487675,9
43406,#1512719738967064579,9
67180,#24622829,9
15780,#1254695364680052738,9
59268,#201632930,9
71473,#270741900,9
39028,#1480814352127049728,9
96525,#539690104,9
105679,#763270136,9
9554,#116345495,9
61645,#220563594,9
15189,#1247798214276726784,9
93224,#475572415,9
53681,#163518280,9
76804,#299060551,9
104466,#743463407576309761,9
28103,#1398812105613008896,9
23227,#1348524428959707138,9
64410,#2330424973,9
44509,#1519896566491861000,9
92647,#467519728,9
15179,#1247688029499617281,9
68626,#2542571468,9
57331,#188574296,9
79540,#3159552458,9
49509,#15660656,9
117231,#959313061600378880,9
78308,#307611713,9
93467,#478519559,9
80722,#32368801,9
44524,#1520038532265365504,9
17228,#1272479577458106369,9
102373,#710008689579728896,9
11115,#118862966,9
86899,#384667191,9
53026,#160535032,9
71471,#270727402,9
5057,#1090658203,9
107813,#799642178,9
2593,#1048444879628455936,9
3473,#1064683532776288256,9
23303,#1349286416,9
63290,#2281977073,9
103971,#735129824050749441,9
23289,#1349187893219061763,9
26621,#1383944309666312197,9
61941,#22229992,9
69731,#25963354,9
15199,#1247862768,9
47852,#15491451,9
61648,#220590042,9
34570,#1447541414280065030,9
54331,#166941174,9
80673,#32345047,9
85214,#3636775813,9
26334,#1380897013,9
50471,#15758272,9
104456,#7432882,9
28073,#1398498494759915521,9
63945,#2309680644,9
96507,#53936434,9
26338,#1380997596097904640,9
110183,#838675490105798657,9
88839,#408309925,9
39033,#148083262,9
62104,#22318105,9
40029,#1487309372435099650,9
71464,#2706740341,9
75270,#29121432,9
79281,#314064722,9
58200,#193981853,9
86667,#38156420,9
33473,#1439959798166941698,9
14557,#1240582999,9
117150,#957879723761139712,9
78645,#3097850947,9
59387,#202916059,9
95077,#50510649,9
117455,#963323412406939648,9
70615,#265009262,9
31480,#1425435014947168265,9
117464,#963516791145226240,9
78239,#3072149233,9
115550,#930397687,9
92339,#46279225,9
70621,#2650309585,9
33182,#1437875084840947713,9
14790,#1243159234524483584,9
79739,#317046917,9
10257,#1174823776174796800,9
105227,#75613536,9
95128,#50595327,9
33505,#1440215661188304897,9
109481,#82832420,9
27465,#1392450592769990657,9
64026,#2314810304,9
3961,#1072930142605914112,9
11630,#1196294472306319361,9
117325,#9611682,9
109482,#828344443581272065,9
3970,#107303391,9
40249,#1488700710611189761,9
75573,#2923481024,9
2315,#1043062234333638656,9
15481,#1251148118785093632,9
52826,#1601581830909542400,9
92817,#4701708248,9
33405,#1439540129396248578,9
57185,#1876284104,9
2310,#104297594,9
10321,#1175874695251419136,9
79929,#318360035,9
115590,#931175038937481221,9
66830,#2442473665,9
115582,#931052280735981568,9
3199,#105929131,9
25815,#1375325356161343492,9
10311,#1175706512791982081,9
33433,#14397712,9
108132,#805169831729238016,9
14779,#1243071811,9
49863,#1569675322890788865,9
39718,#1485176572856664066,9
11367,#1192101276,9
1965,#1036833930664529920,9
86409,#3787480454,9
15513,#1251459058176946176,9
57149,#187429160,9
87129,#38752095,9
25825,#137539576,9
31491,#1425530867477188609,9
109239,#82493064,9
61131,#2178942312,9
65077,#235865867,9
103383,#726069896128258048,9
27453,#1392380602498777088,9
115530,#929914013395312640,9
31837,#1427788742664724480,9
64001,#231318726,9
49202,#1562407853767675904,9
39634,#1484578836256006145,9
103291,#72455104,9
80028,#3188491429,9
117494,#964079619090538498,9
11349,#1191957292603912200,9
24581,#1362227875,9
25911,#1376168399533862913,9
26971,#1387662877964738562,9
33595,#1440619602384351235,9
1902,#103562319,9
10714,#1182191196061323264,9
4053,#1074138778388848640,9
1899,#1035542133153964033,9
24550,#136200120,9
4060,#1074197934596444160,9
115457,#928652058,9
95261,#50975552,9
103262,#724070917,9
108111,#804832024037126145,9
16393,#126229945,9
4070,#1074317257403056129,9
50143,#1572551163303858178,9
64126,#231920574,9
49206,#1562416739979145222,9
10140,#1172861674253979648,9
65902,#23935651,9
14826,#124348114,9
43560,#1513800843551600645,9
54490,#16790216,9
70016,#261086019,9
104029,#73601018,9
33573,#1440525086,9
32684,#1433981362466279426,9
10211,#1173869229520674817,9
40700,#1491963376955985925,9
55864,#17689964,9
88357,#40182224,9
87975,#39722808,9
49185,#1562308787897114624,9
69058,#25651223,9
65793,#238963288,9
11631,#1196334738220306432,9
39660,#1484767734278033412,9
2323,#104328635,9
16327,#1261590658701127681,9
86339,#37804464,9
103326,#72511916,9
61993,#2225193254,9
59985,#209431026,9
69035,#2564516872,9
80007,#3187398264,9
2325,#1043329201175113728,9
95199,#508181764,9
69384,#25807119,9
51772,#1588772816970608640,9
48835,#1558777480315826176,9
70661,#2653246104,9
54738,#16913504,9
27490,#1392650691647139841,9
70663,#265325928,9
40260,#1488762605275545601,9
87963,#39717820,9
44010,#1517104412057292800,9
14807,#1243335136147410944,9
115595,#931274025912877056,9
93978,#485199280,9
10136,#1172778553764503555,9
58109,#193499392,9
79836,#3178080764,9
43869,#1515962634683576322,9
104083,#737116571311558656,9
32767,#1434594696,9
105130,#754827103,9
10393,#1176824176616718337,9
75910,#2940470443,9
27035,#1388311959322259459,9
2281,#1042461152523870209,9
70411,#263553381,9
60229,#211817564,9
25000,#1366607321724383234,9
86553,#380471272,9
31563,#1425984481563791365,9
79843,#3178285154,9
64203,#2322622268,9
48741,#1557844944425205761,9
109343,#826302531043151872,9
86627,#3811957092,9
109265,#825306813344002049,9
108180,#80615446,9
48737,#15577807,9
108392,#81013661,9
55452,#17360156,9
27380,#1391627232695570433,9
40198,#1488373919480709122,9
25764,#137488644,9
70503,#264327640,9
25766,#1374901537554587652,9
3309,#1061450159614119937,9
104081,#7370442,9
94844,#499580739,9
27395,#1391736379676135425,9
3290,#1060913295530450944,9
115749,#934060224,9
78706,#31013871,9
105114,#754514820,9
25695,#1374022961242337284,9
115750,#934064620569952256,9
55803,#17643069,9
49091,#1561368516325888000,9
92755,#46901431,9
16035,#1257834556582883328,9
63362,#22858442,9
79807,#3176348149,9
115733,#933814397255917568,9
25702,#1374156019819974656,9
79449,#3152047574,9
49854,#1569594198697058304,9
48763,#1558033931311558656,9
94780,#49859008,9
76510,#297341370,9
55813,#176494626,9
25706,#1374223902130376709,9
2056,#1038342612619485184,9
104919,#751143486,9
76521,#2973934674,9
25030,#1366919494019420162,9
25712,#1374278229486305281,9
75671,#2929119303,9
70456,#26398331,9
40911,#1493506260305870849,9
40189,#1488316484120346624,9
108992,#820817864,9
79861,#3180041203,9
25124,#1368077373720043521,9
39744,#1485410389684858882,9
10821,#1183684261821349888,9
76544,#2975868523,9
24897,#1365586213,9
108399,#810268541412704256,9
15528,#1251678907985620992,9
86480,#379316929,9
93993,#485388450,9
103442,#727024141971267584,9
79898,#3181739610,9
27013,#1388046349623455748,9
86641,#3813579860,9
69107,#2567442617,9
40217,#1488450787475075073,9
61979,#22246440,9
79766,#3171984387,9
104119,#73794448,9
27409,#1391915340733550594,9
86465,#379116136,9
88000,#397596378,9
94974,#502228776,9
117088,#956799929480957953,9
109381,#826748928,9
48671,#1557172796907589632,9
108148,#80541722,9
50071,#157190897,9
65861,#23924457,9
94988,#50242635,9
24850,#1365112283039363087,9
3209,#105940665,9
94992,#502518719,9
103437,#72694566,9
11372,#1192248875005833216,9
69117,#2567823288,9
79863,#318019067,9
54542,#16818898,9
27398,#1391783594578780160,9
24965,#1366285634197884928,9
50047,#1571722879980670976,9
48718,#1557604447630413824,9
14511,#1240096214,9
40206,#1488408036649873409,9
75925,#2941285572,9
2013,#1037538323907076102,9
94005,#48548471,9
70093,#2614859083,9
86520,#3799250292,9
3823,#1070530452,9
63066,#22722235,9
86508,#379662093,9
115663,#932410183065542656,9
43176,#1510932849276645376,9
64049,#23154622,9
109365,#82656904,9
3701,#1069123361387667456,9
93999,#4854555974,9
94944,#50142024,9
32742,#1434395606278045699,9
94945,#501420791,9
115643,#932073874136502273,9
27020,#1388095681,9
33348,#1439072192730333184,9
79771,#3172227186,9
16203,#1259830676318121985,9
16204,#1259843421277163523,9
2003,#1037450315409154049,9
94673,#495701514,9
75479,#2919420564,9
116419,#945633695544745986,9
57279,#188226448,9
57095,#187063812,9
79315,#314260519,9
50238,#1573434061070094336,9
116372,#944808223533608960,9
67090,#2457398724,9
9974,#1170107476500340736,9
103037,#720156175598096384,9
88543,#404065196,9
15628,#1252969133794263040,9
109747,#832379269972008960,9
58080,#193278425,9
60145,#21109919,9
40294,#1488986319493599233,9
54443,#167650828,9
15633,#125307048,9
109215,#824503892,9
10934,#1185603094773526529,9
50245,#1573466455219130369,9
105088,#754052244945809408,9
11731,#1198020298571796480,9
59419,#20309234,9
39447,#1483276663639412737,9
48307,#1553567360971247616,9
78523,#308992354,9
16629,#126524269,9
65043,#2357582971,9
16631,#1265248084629483520,9
117639,#966839901755867136,9
115849,#935765138791174145,9
26883,#1386736918944043008,9
61924,#22223392,9
33895,#1442812273899175945,9
24127,#1357624946449522690,9
27705,#1394637882371969026,9
11714,#1197819930277625858,9
76336,#2962807086,9
95505,#515392953,9
25991,#1377038173079961607,9
105395,#758743419044835332,9
109706,#831653194488963072,9
80178,#3197348612,9
57466,#189524488,9
31306,#1424153801204723713,9
32590,#1433316606625546243,9
60046,#209951336,9
115180,#92397712,9
85992,#373778592,9
11720,#1197875312836497408,9
24212,#1358592012539158533,9
108029,#803152113626857472,9
85965,#3734667077,9
70911,#26707283,9
57098,#187089427,9
15623,#1252935221042798597,9
62025,#222733449,9
9989,#1170230830666375168,9
4318,#1078429508,9
88541,#404054990,9
60311,#21274848,9
87258,#3889124006,9
95592,#517084967,9
68910,#2557776127,9
95599,#51716087,9
80207,#320053806,9
9962,#1169903609804251137,9
88567,#40433760,9
27660,#1394222013917503494,9
43239,#1511559287033966594,9
48259,#1552961975625601025,9
27777,#1395506916,9
70312,#2626661102,9
117681,#967616837289734144,9
75299,#2913230924,9
108835,#818667802508697600,9
115053,#92170580,9
10953,#1185894360145002496,9
10960,#1186078494737891328,9
68860,#255440241,9
116395,#94517496,9
58021,#192842230,9
109831,#833482052620083200,9
109190,#823784391503511552,9
80282,#321136703,9
75309,#2913645344,9
71026,#2679716270,9
64317,#232788008,9
70180,#26185662,9
87319,#3897330434,9
109837,#833516151518867457,9
34040,#1443913976,9
92000,#45713351,9
48796,#1558330883462991873,9
115020,#921145899614531584,9
75279,#2912525616,9
26099,#1378199045932380163,9
85782,#371246161,9
16733,#126633813,9
57195,#18773233,9
69925,#2605541077,9
109801,#83320419,9
95658,#518430254,9
67072,#245615938,9
3046,#1056391422121668608,9
40865,#1493165513689956353,9
92073,#458208510,9
63193,#227732975,9
49287,#1563325374540365824,9
26019,#1377183292399624192,9
105439,#759264455846920192,9
44194,#1518540622982160384,9
85875,#372274742,9
95675,#51892219,9
76472,#2970993433,9
109775,#832852244,9
92065,#45807674,9
31255,#1423641860048777226,9
60329,#21292430,9
68873,#255500029,9
55390,#173250437,9
43232,#1511518630554779648,9
24062,#1357092739981053954,9
61750,#22115483,9
16648,#1265476719076446209,9
57281,#188229899,9
16666,#1265596955872264192,9
115084,#922280951991828481,9
14215,#1236119563831402496,9
11780,#1198822325572890625,9
88575,#40445085,9
10552,#1179440730135248897,9
53620,#1632419898,9
33990,#1443512591813210112,9
58182,#19392091,9
115827,#935473256,9
117062,#956281078930595843,9
70775,#26621289,9
80099,#319319227,9
54792,#1694646168,9
14727,#1242631533262823424,9
14338,#123782515,9
88454,#40283160,9
49785,#1568927967119822849,9
61327,#218680645,9
76617,#2980894665,9
86713,#382059162,9
32833,#1435032268460879875,9
51759,#1588650003936948225,9
75452,#291791128,9
94634,#49493155,9
14853,#1243825549039915009,9
104190,#739033216951062528,9
95362,#51262385,9
41022,#1494329797061013511,9
94630,#494848450,9
24418,#1360927201277845509,9
42956,#1509177859004268545,9
48455,#1555023214015029248,9
88457,#4028846059,9
104195,#739065149273690114,9
24412,#1360882506,9
79332,#314361384,9
88466,#403012556,9
69416,#2581650848,9
33139,#1437594737083437060,9
57417,#189147678,9
105339,#757835860125454336,9
70760,#2660444954,9
52042,#15913,9
33730,#1441486495953555457,9
103227,#723681553,9
3136,#1057871715659730944,9
31417,#1424961772901920775,9
87209,#38838907,9
49067,#156113364,9
10510,#1178650721996034048,9
103240,#723790087876534272,9
11345,#1191913751714250752,9
32637,#1433653392899928064,9
94136,#4872850160,9
3119,#1057571682280329216,9
116315,#943637284150054912,9
11652,#1196707589569990661,9
76609,#297941979,9
67118,#2459110987,9
104813,#749450126247112705,9
4133,#1075303999,9
1866,#1034733053745102849,9
116114,#940158092,9
116111,#940137750,9
33680,#1441205510133350406,9
48487,#1555250532457103362,9
10124,#1172539142997045248,9
25938,#1376524279945162760,9
26928,#138724798,9
1859,#1034635594754912257,9
65700,#2385134838,9
75461,#2918317922,9
69998,#2609508948,9
94639,#495108859,9
54645,#1687621453,9
75440,#2917537808,9
76632,#2982405505,9
115826,#935472403836125184,9
33792,#1442044938863058949,9
86056,#374377775,9
105370,#758335938,9
104023,#735939958691758082,9
80151,#3195788072,9
76341,#29630111,9
3072,#1056839029923016705,9
75408,#291663196,9
57462,#1894548703,9
4227,#1076674039291162624,9
48394,#1554384867160637440,9
75407,#2916622773,9
16549,#1264128724242296832,9
10909,#118520364,9
48391,#1554356293,9
80167,#31965741,9
78569,#309379043,9
68937,#255929379,9
103091,#721384189,9
116361,#944602551512526848,9
86043,#3743067913,9
75397,#291637908,9
88203,#399897704,9
115825,#935453248915324928,9
48380,#1554245336998240257,9
115207,#92443210,9
64185,#2321820535,9
64298,#2326867927,9
95487,#515174495,9
41066,#1494644027584815105,9
92172,#460082841,9
65055,#2357878754,9
52050,#1591353577942831104,9
3088,#1057075060471549953,9
14571,#124078015,9
4180,#107600920,9
67073,#2456166661,9
105355,#758096610446286848,9
3334,#1062069513905090560,9
32835,#1435068897615495173,9
27613,#1393831847050743809,9
88483,#403231937,9
39534,#1483929000418623488,9
95433,#513976231,9
10066,#1171568436301811712,9
59978,#209326823,9
10906,#118515177,9
65836,#23914623,9
92208,#46054083,9
59065,#19956391,9
16532,#1263923783439540224,9
15426,#1250624421523419136,9
1806,#1033606760760635393,9
15931,#1256506326521245697,9
41050,#1494517820,9
117585,#965793926891290625,9
69196,#2572553238,9
3077,#1056862763258015744,9
10047,#1171295097255686144,9
33764,#1441779945869492224,9
95453,#514341778,9
75419,#291691651,9
65298,#23691408,9
75418,#291688619,9
103120,#721978388844400641,9
58189,#1939518254,9
59916,#208510592,9
5290,#1094633605,9
112917,#885148246993059845,9
51109,#1581991869365751808,9
51107,#1581986318191853568,9
53208,#161120957,9
118832,#988404558689746944,9
81700,#329447388,9
112932,#88543507,9
6684,#1118150827254796290,9
112934,#885465913302032384,9
563,#1010554517543239680,9
21175,#1323867644265558016,9
21181,#13239532,9
38083,#1474998787412086785,9
30241,#1416641587757535236,9
89667,#41931046,9
64833,#235096707,9
6665,#1117707064904519681,9
90754,#435626096,9
36150,#1458779784687669252,9
83544,#34454386,9
98525,#581632212,9
112915,#885117278366253056,9
529,#1009739554079698945,9
112861,#884069739428839425,9
66128,#240610488,9
106330,#774335309471293440,9
89697,#41974909,9
6736,#1118979799,9
13347,#1223104006362284037,9
112893,#884770882333192192,9
98616,#58367143,9
38040,#1474598228687417347,9
98610,#58359006,9
38046,#1474632082810761217,9
29163,#1408692958208004098,9
98599,#58338252,9
45283,#1525608150627274752,9
30212,#1416524500019998720,9
89694,#4197179892,9
45255,#1525369404653211649,9
13384,#1223508435674656768,9
118861,#988994528269877250,9
53835,#164353316,9
62617,#2252106911,9
101233,#65775587,9
29104,#140819629,9
72672,#27800134,9
6606,#1116567464,9
111120,#854888064,9
21286,#1325043384667369472,9
36045,#1457997645398437896,9
83673,#3458715012,9
21295,#1325128275073495043,9
74264,#2864038064,9
29089,#1407996125928300544,9
56405,#18160574,9
67314,#2467363610,9
72645,#2778517903,9
113014,#887131729546190848,9
83684,#34591434,9
45230,#152514054,9
106231,#772250522774417408,9
67935,#2500713583,9
30265,#1416920756638818304,9
29125,#1408359595546800129,9
21210,#1324241985461313537,9
21216,#1324257797815504896,9
72691,#2781445016,9
45246,#1525315065464901633,9
38109,#1475272561415970818,9
6643,#1117374835640770560,9
38111,#1475299317174865920,9
53214,#161175574,9
21222,#1324309358499430403,9
90775,#43606122,9
38113,#1475302300050604032,9
18387,#1287921450364465152,9
13415,#1224028160800354304,9
56836,#1853443904,9
36086,#1458362817329786882,9
83625,#34547824,9
98630,#583871625,9
45303,#1525772439757930496,9
74273,#286457852,9
20849,#1319908506,9
45372,#1526431177820626944,9
106383,#774996385,9
83325,#34221131,9
36368,#1460365719305027588,9
118962,#9908272,9
6900,#1121675630695727104,9
62274,#2237119543,9
6892,#112151479,9
52558,#1597407712027238400,9
77748,#30418342,9
13278,#1222076568844947456,9
53101,#160713549,9
20922,#1320758284849090573,9
6871,#1121094866,9
51170,#1582794134,9
53861,#164506067,9
58400,#19527431,9
89781,#420917336,9
100993,#637248805,9
18596,#1290455483493560321,9
111351,#858792206,9
119036,#992405702,9
29326,#1409967602470842371,9
74087,#2854303969,9
55024,#1710014490,9
72965,#279461242,9
65453,#2374873788,9
52552,#1597373842410057729,9
37919,#1473575254991642629,9
6949,#1122675041982828544,9
111379,#859060467473334274,9
29285,#1409658389886500866,9
37921,#1473594442334425089,9
81840,#3302199896,9
107191,#789075398134902784,9
98888,#58943775,9
107193,#789208771813867520,9
36391,#1460567312054972418,9
46510,#1536645949342162944,9
60680,#21546368,9
12458,#1210899793,9
101059,#64268519,9
112805,#883115510992216064,9
21036,#1322027235478417409,9
118893,#989650698378858496,9
65440,#23743589,9
21049,#1322247766718865409,9
112828,#88359418,9
58391,#19523781,9
90717,#435021029,9
8462,#1146671391158071296,9
106338,#774429343204319232,9
36222,#1459273777,9
6775,#1119625635528208385,9
18532,#1289509993578786816,9
36216,#145919957,9
111252,#857160051341090816,9
12464,#1210990114760904704,9
72774,#278495702,9
83441,#343227572,9
6802,#1120176857796595713,9
72862,#278962798,9
18568,#1290007100,9
20968,#1321234670999064576,9
67848,#24965398,9
13288,#1222186107812511744,9
55162,#171868821,9
41795,#1499712518788288517,9
60900,#2165987455,9
13311,#1222568346324885505,9
101045,#64120167,9
8428,#1146222929039900673,9
111291,#857664518,9
42347,#15037162,9
30155,#1415993504115961860,9
63793,#23029173,9
112769,#882535244598923264,9
41787,#1499665479706808321,9
83436,#343192893,9
66404,#241949871,9
58684,#1968883537,9
46729,#1538766227715555328,9
74080,#28539593,9
60635,#2152430082,9
65580,#237987118,9
113256,#890892169497542656,9
35810,#1456331934,9
62661,#2254406376,9
38261,#1476366715,9
98144,#57283094,9
38262,#1476386205453328391,9
101409,#67357887,9
52311,#159446591,9
81488,#32825770,9
54158,#166046144,9
18209,#1285576735623266304,9
72428,#2764541905,9
74433,#287433301,9
72425,#276424213,9
21633,#1329218140409004032,9
62665,#2254791122,9
21606,#1328810337785679872,9
29017,#1407294495259987969,9
55194,#17206149,9
6371,#111240646,9
21540,#1328121782,9
21548,#1328156140882907137,9
35857,#1456641433281073158,9
72489,#2768757277,9
72488,#276875327,9
8691,#1150355167331721217,9
29027,#1407421434,9
35846,#1456580822308249604,9
106184,#771373952786501632,9
21574,#132843067,9
111016,#852734288185315328,9
21585,#132859320,9
35830,#1456481858997288960,9
98172,#57356580,9
111013,#852692146746413058,9
106176,#771266572010737666,9
29022,#1407335228,9
56859,#18548652,9
18201,#128554380,9
63820,#23041048,9
21688,#1329966332620664834,9
72373,#2761341962,9
66467,#2422773944,9
30380,#1417722330,9
35717,#1455728546681262090,9
12324,#1208139672011935744,9
77944,#305521083,9
30383,#1417738702374141952,9
77068,#3004234993,9
58733,#19704213,9
60625,#2152209648,9
12319,#1208069827,9
30391,#1417784954,9
101466,#67855443,9
816,#1015239649776685056,9
81429,#3279470653,9
97987,#56905017,9
84027,#349865383,9
8771,#1151379996910338048,9
56337,#18102427,9
74439,#2874584047,9
74451,#2874967634,9
118661,#985656652543115264,9
46945,#1540931341927456769,9
29000,#1407199318373658632,9
58724,#19701307,9
57600,#190239838,9
72401,#27624768,9
58727,#1970194172,9
110951,#851422858446352385,9
55196,#17207005,9
110943,#851248498703978496,9
110939,#851039153160568832,9
30376,#1417715311399239682,9
90890,#437843658,9
113342,#892368823,9
68097,#25077535,9
113345,#892446583236603904,9
83974,#34914039,9
64579,#2337988231,9
83849,#348004601,9
6572,#1116023697062662144,9
77113,#300704395,9
21354,#1325702058301820928,9
38161,#1475635935446331394,9
45194,#1524896104570990593,9
98382,#57857810,9
59799,#207039224,9
46771,#1539153312561639425,9
21359,#1325734494251347969,9
63626,#2295662582,9
72594,#277669951,9
13470,#1224925027469938689,9
21366,#1325893134283272193,9
60931,#2167521143,9
56386,#181420521,9
38169,#147571399,9
74293,#286584835,9
83754,#3467482576,9
72575,#277519599,9
45198,#1524924998296580097,9
113066,#887964491748593664,9
81574,#3286264862,9
90792,#43624919,9
101249,#65881264,9
72629,#2778159822,9
599,#1011186714474438657,9
72627,#2778118128,9
118810,#988166166,9
29086,#1407974090242027525,9
6563,#1115813992147107843,9
113040,#887650124553363458,9
59608,#20501723,9
81599,#3287367079,9
45204,#1524958382205304832,9
30281,#1417008493429620736,9
46746,#1538885777480118277,9
62629,#2252990563,9
56391,#181465848,9
83726,#346422993,9
56840,#1853739961,9
641,#101204698,9
77882,#305066258,9
62654,#22538531,9
60638,#2152631226,9
35915,#1457017392970665985,9
81543,#3285004644,9
59601,#20498231,9
6444,#1113576656,9
72535,#2772489674,9
38219,#147601668,9
68031,#25046904,9
83805,#347489774,9
6436,#1113485216,9
64581,#23381518,9
38226,#1476053371471601664,9
56365,#1811723136,9
101352,#66933728,9
56851,#1854359059,9
83830,#3477926533,9
35880,#1456821221169922049,9
81521,#328419282,9
111058,#853742162,9
46824,#1539747942902292481,9
72569,#27747605,9
74345,#28684632,9
21401,#1326387515264299008,9
55187,#171999133,9
46800,#1539429601663160321,9
38194,#1475824486440071173,9
74319,#2866700096,9
21419,#1326532125688885248,9
38197,#1475863436005634057,9
68011,#25039525,9
46807,#1539581376357228544,9
41688,#1498951646692327424,9
21441,#1326906224747700226,9
98302,#576475134,9
64853,#2351503874,9
35929,#1457201556957196290,9
18290,#1286530313544327168,9
106859,#782886244632170500,9
52325,#15945756,9
36430,#1460861629210365956,9
119040,#992536561349636096,9
68116,#2508829322,9
55106,#171463424,9
29874,#1414072989893545984,9
99685,#607538873,9
119316,#998190502276157440,9
45688,#1529068776,9
66202,#240992267,9
20012,#1308777581089492992,9
7525,#1131807147870679041,9
77559,#302991590,9
90361,#42930541,9
59724,#206118421,9
111754,#865058837627158529,9
119307,#99806152,9
7504,#1131446328465039361,9
19275,#1298973123937615875,9
67550,#2480407076,9
12723,#1214327809285378048,9
52461,#1596271121673773056,9
19311,#1299512979684114433,9
29867,#1414007288,9
73387,#281966388,9
37027,#1465491830116478981,9
77549,#3029565910,9
12979,#121758369,9
77555,#3029691977,9
90334,#42877431,9
100349,#621429361,9
19954,#1307932160674865152,9
73454,#282412690,9
7907,#1137907026275622912,9
45990,#1531837880280449024,9
82654,#3354128805,9
100350,#621468501,9
106,#1001925188,9
53997,#1652511661,9
7565,#1132573552589172736,9
110,#100199356,9
99716,#608029259,9
82312,#3324892119,9
73783,#283891105,9
82251,#332075798,9
99756,#608957571,9
64692,#2343181057,9
19228,#1298468420,9
19222,#1298377674960691205,9
7419,#1130068398975569920,9
62466,#22458857,9
7414,#113000840,9
37519,#1469727707013337090,9
67583,#2482204418,9
100478,#62425132,9
99518,#603408175,9
73311,#2813899987,9
61509,#2197644469,9
45627,#1528658291790082048,9
90413,#43041717,9
46113,#1533035117748580352,9
7375,#1129532410649964545,9
82196,#3317651875,9
20199,#1311274626715021313,9
29902,#1414218465779412994,9
41970,#1500958643193139200,9
