,Author Id,Number of Tweets Made
57730,#1910353982,2350
113315,#891996374698344450,2349
72012,#27382158,2348
99397,#600760256,2346
73968,#2849469361,2344
108001,#802669828473393152,2342
101488,#68094165,2341
65841,#2391852086,2335
115634,#931767423417454592,2335
38573,#1478323060226723840,2333
26098,#1378188242093101058,2330
80037,#3189419282,2329
65023,#23572940,2328
58113,#193529663,2325
64486,#233405816,2324
2704,#1050341352209182722,2321
76764,#2989173842,2321
72369,#2761178294,2321
81802,#3300789416,2316
11598,#1195592725829079040,2316
60252,#21208454,2299
1008,#1018660693,2298
23284,#1349086557479702528,2298
102336,#70951016,2298
21851,#1332135326718984193,2297
10571,#1179933000315756544,2295
93164,#4747507572,2294
104361,#741692078,2293
57542,#1899124170,2290
59061,#19952935,2289
97326,#555980002,2280
94939,#501340014,2273
5162,#1092390280865566721,2269
11976,#120212120,2268
81819,#3301439822,2266
32133,#1429984556451389440,2263
68453,#252940517,2260
105900,#766932282,2259
55722,#17588616,2257
1489,#1027167886148689920,2256
37177,#1466737977430720513,2254
79867,#3180364452,2248
12474,#1211117429109088257,2244
36334,#14600009,2242
39619,#1484476130719518726,2236
51043,#158123632,2235
76283,#295995883,2234
53487,#1625727500,2234
91184,#44297399,2232
87930,#396957528,2231
95111,#505656849,2229
23386,#135010784,2228
83888,#34839217,2227
40606,#1491292264320364544,2226
69651,#25943764,2223
75079,#2904255032,2221
82740,#3366081987,2220
25197,#1368755311,2217
40506,#1490525787178475520,2214
6912,#1121999566289555456,2214
110543,#84437733,2209
10000,#1170452232606633984,2207
72481,#276827565,2198
75566,#292330952,2196
97445,#558333660,2193
108582,#814235930219278336,2187
96379,#536193464,2186
66302,#24145046,2185
1023,#1018836544298184704,2184
54790,#169459139,2182
102927,#71854785,2174
37100,#1466177366506549251,2171
87492,#39162036,2170
104564,#745196882,2167
112512,#877836463844544512,2166
21562,#1328294152916795392,2164
110061,#83694622,2157
75786,#2934333542,2150
95025,#503474809,2144
37436,#1468883204677332992,2140
43798,#151543415,2140
37551,#1470106149991043074,2139
577,#1010845245917892610,2138
42624,#1506098018243989505,2136
24903,#1365655274,2134
73535,#282854342,2132
36745,#1463314856,2132
55267,#1724072449,2129
29512,#1411450175780888578,2129
59192,#20102892,2128
19427,#13007712,2127
38542,#1478182446,2126
28578,#1403203604685545475,2125
27247,#1390444392033308673,2124
26596,#1383717795448332288,2123
86059,#374408898,2123
59321,#20219592,2122
89620,#4185121399,2121
26988,#138788050,2121
79567,#3162051997,2119
59234,#201222862,2117
85146,#363020711,2117
103994,#735539511321604096,2114
18971,#1295238884255662080,2113
58457,#195716578,2109
4930,#1088636220014350336,2108
31811,#1427610262182322183,2108
3319,#1061715383483154432,2107
58511,#1960070312,2106
3490,#1065029737599328256,2105
19160,#129772578,2105
100837,#633605685,2101
95598,#51713026,2095
116175,#940868397528698880,2094
13183,#1220623861638545408,2091
18555,#1289847366,2090
86694,#3818993052,2089
96259,#533187906,2082
84761,#3589942153,2080
102788,#7160202,2077
15820,#1255149263593467912,2076
65678,#2384370926,2073
115682,#932807688815120384,2073
78016,#3060709579,2065
107824,#799824933702373376,2060
102107,#705858888902377472,2059
59232,#20122128,2057
45995,#1531897683853844480,2056
86679,#38177491,2050
96240,#53292926,2044
93743,#4825706423,2043
108530,#813276,2042
53431,#162266849,2038
5449,#1097636232,2037
71054,#2681669276,2035
81116,#3258935612,2035
90266,#42769304,2028
86742,#382572073,2027
58853,#1977782425,2024
76707,#2986437777,2024
61731,#22104804,2021
98451,#579788150,2020
68295,#2521861657,2016
62389,#22431925,2014
17451,#1275637592386658304,2012
67417,#2472410144,2011
34460,#1446693418856443907,2004
16884,#1267970306884333568,2001
75753,#2933053208,1994
33041,#1436865853035745286,1992
117866,#970882897333837824,1990
73563,#28296718,1984
34142,#144456078,1982
14015,#1233276212560052225,1981
50417,#1575285372,1980
16189,#125966823,1980
97956,#568664827,1977
85578,#3686849834,1976
99104,#59431369,1976
54583,#168411715,1974
100482,#624351146,1974
91235,#443540779,1972
117793,#969490189256081408,1972
55527,#174139684,1972
40851,#1493105130937667584,1968
104875,#750474987367067648,1965
15163,#1247568632,1962
24128,#1357630122216484870,1962
89901,#422716825,1958
112734,#882079203025231873,1958
86271,#377051958,1958
24043,#1356898081,1956
84384,#3543893113,1955
118430,#981150933919780865,1953
15533,#1251693247,1952
55824,#17665712,1948
